Cód. IBGE,Núcleo Regional de Saúde (NRS),Município,Crianças 6 meses a 2 anos - D1,Crianças 3 a 4 anos - D1,Crianças 5 a 11 anos - D1,Adolescentes 12 a 17 anos - D1,Pessoas 18 a 19 anos - D1,Pessoas 20 a 29 anos - D1,Pessoas 30 a 39 anos - D1,Pessoas 40 a 49 anos - D1,Pessoas 50 a 59 anos - D1,Idosos 60 a 69 anos - D1,Idosos 70 a 79 anos - D1,Idosos 80 anos + - D1,Total de Doses Aplicadas - D1,Crianças 6 meses a 2 anos - D2,Crianças 3 a 4 anos - D2,Crianças 5 a 11 anos - D2,Adolescentes 12 a 17 anos - D2,Pessoas 18 a 19 anos - D2,Pessoas 20 a 29 anos - D2,Pessoas 30 a 39 anos - D2,Pessoas 40 a 49 anos - D2,Pessoas 50 a 59 anos - D2,Idosos 60 a 69 anos - D2,Idosos 70 a 79 anos - D2,Idosos 80 anos + - D2,Total de Doses Aplicadas - D2,Crianças 6 meses a 2 anos - 3ª Dose/Ref,Crianças 3 a 4 anos - 3ª Dose,Crianças 3 a 4 anos - Reforço,Crianças 5 a 11 anos - Reforço,Adolescentes 12 a 17 anos - Reforço,Pessoas 18 a 19 anos - Reforço,Pessoas 20 a 29 anos - Reforço,Pessoas 30 a 39 anos - Reforço,Pessoas 40 a 49 anos - Reforço,Pessoas 50 a 59 anos - Reforço,Idosos 60 a 69 anos - Reforço,Idosos 70 a 79 anos - Reforço,Idosos 80 anos + - Reforço,Total de Doses Aplicadas - D3,Pessoas 18 a 19 anos - 2º Reforço,Pessoas 20 a 29 anos - 2º Reforço,Pessoas 30 a 39 anos - 2º Reforço,Pessoas 40 a 49 anos - 2º Reforço,Pessoas 50 a 59 anos - 2º Reforço,Idosos 60 a 69 anos - 2º Reforço,Idosos 70 a 79 anos - 2º Reforço,Idosos 80 anos + - 2º Reforço,Total de Doses Aplicadas - 2º Reforço,Adolescentes 12 a 17 anos - Ref Bivalente,Pessoas 18 a 19 anos - Ref Bivalente,Pessoas 20 a 29 anos - Ref Bivalente,Pessoas 30 a 39 anos - Ref Bivalente,Pessoas 40 a 49 anos - Ref Bivalente,Pessoas 50 a 59 anos - Ref Bivalente,Idosos 60 a 69 anos - Ref Bivalente,Idosos 70 a 79 anos - Ref Bivalente,Idosos 80 anos + - Ref Bivalente,Total de Doses Aplicadas - REF
293077,Norte,Sobradinho,157,247,2248,2613,935,4429,4051,3861,2454,1778,1118,781,22020,52,99,1449,2134,782,3381,3513,3460,2346,1732,1110,594,19052,3,0,0,85,841,489,2229,2306,2671,1870,1452,1017,936,13811,162,586,862,1220,1026,1004,700,317,5877,0,0,23,32,49,29,401,364,188,1086
293080,Centro-Leste,Souto Soares,180,477,1798,1927,549,2192,2916,2117,1753,1096,717,416,13683,160,300,1688,1837,488,2684,2838,2029,1652,1028,647,350,13553,524,0,0,0,1476,1555,552,2292,2219,1705,1030,650,276,11755,1282,1030,3248,1194,781,926,298,344,9103,0,0,0,0,0,0,0,0,0,0
293090,Oeste,Tabocas do Brejo Velho,131,293,1066,1318,414,1780,1983,1427,1020,976,557,354,9829,79,182,1030,1316,414,1780,1983,1423,868,976,557,354,9671,15,0,3,113,822,311,1309,1445,1530,1360,846,530,376,8529,29,483,690,717,821,701,514,255,4210,0,25,70,107,92,126,381,374,207,1382
293100,Sudoeste,Tanhaçu,0,0,1331,1878,610,2804,3688,1801,2174,1791,1194,711,16651,0,0,1134,1546,591,2742,3661,1781,2197,1790,1193,701,16202,0,0,0,0,32,231,2330,2653,1979,1717,1102,953,597,11594,0,0,0,0,0,88,113,194,395,0,0,0,0,0,0,0,0,0,0
293105,Sudoeste,Tanque Novo,205,269,1648,1650,524,2623,2536,2330,1841,1376,985,504,14369,117,194,1538,1522,562,2599,2609,2235,1759,1379,988,508,14161,18,0,8,163,942,395,1691,1960,1805,1540,1315,896,460,11004,112,529,774,803,853,790,595,282,4738,4,41,90,161,172,136,474,410,168,1656
293110,Centro-Leste,Tanquinho,23,134,597,646,259,1211,1231,1060,782,633,407,243,6472,20,90,506,378,575,886,1041,1033,755,631,426,234,5959,20,35,30,107,65,578,677,811,598,499,589,415,262,4494,278,124,235,256,45,356,233,92,1619,0,35,15,12,30,80,175,200,112,659
293120,Sul,Taperoá,17,142,1454,1829,591,2570,2566,2383,1764,1526,821,437,14487,1,73,953,1394,461,2177,2194,2126,1614,1281,632,361,12240,0,0,0,2,537,205,1167,1336,1433,1158,986,507,264,7593,40,339,469,707,637,630,348,190,3360,1,0,4,4,2,3,86,84,39,223
293130,Centro-norte,Tapiramutá,29,201,1447,1590,431,2055,1646,1696,1395,800,626,297,10536,0,0,1352,1409,472,2042,1569,1627,1337,771,602,278,10107,0,0,0,0,792,265,1102,1453,1474,1089,825,445,258,7703,9,191,756,513,415,463,240,131,2718,0,0,0,0,0,0,0,0,0,0
293135,Extremo Sul,Teixeira de Freitas,211,566,9617,11813,4513,21846,21770,18887,14398,10492,5392,4812,113923,111,107,2596,8037,3080,17243,18262,16536,13061,10178,5370,2590,94357,25,10,21,222,2568,2541,11740,13490,13668,11765,8100,4352,2066,70290,203,2052,3319,4869,5245,5135,2970,1419,25212,0,56,329,432,614,670,1870,1276,597,5844
293140,Centro-Leste,Teodoro Sampaio,0,0,581,646,260,992,1042,1036,1015,593,391,205,6180,0,0,386,482,216,828,932,944,956,577,380,247,5562,0,0,0,0,0,107,555,714,867,810,486,327,247,4113,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,0,0,0,0
